Valve Command (V),Position (V),Flow (V),Top Pressure (V),Bottom Pressure (V)
-0.3,1.46161,1.068189,1.287668,0.557543462
-0.3,1.948121,1.097325,1.128512,0.492309058
-0.3,2.466812,1.096011,1.12284,0.522687404
-0.3,3.004535,1.091969,1.113121,0.548517415
-0.3,3.555407,1.082979,1.092222,0.567195539
-0.3,4.120639,1.08054,1.091854,0.599180955
-0.3,4.705767,1.074516,1.077257,0.624171088
-0.3,5.307331,1.06992,1.068503,0.654965758
-0.3,5.928273,1.063949,1.052522,0.681940282
-0.3,6.563748,1.059052,1.043761,0.715309326
0.3,7.223272,0.527948767,3.034787,1.774266
0.3,6.798007,0.462576888,3.122046,1.79381
0.3,6.385891,0.460823412,3.126808,1.77457
0.3,5.985021,0.458059784,3.133968,1.757115
0.3,5.593148,0.45604363,3.14065,1.740712
0.3,5.212348,0.454442394,3.14472,1.722332
0.3,4.842447,0.453218725,3.151343,1.704264
0.3,4.479986,0.451761999,3.160753,1.687043
0.3,4.126348,0.449999801,3.172015,1.66993
0.3,3.782918,0.448415983,3.181563,1.653312
0.3,3.447966,0.446630849,3.194314,1.638693
0.3,3.120453,0.444397781,3.199287,1.620546
0.3,2.801764,0.442425076,3.198308,1.59862
0.3,2.489823,0.439170745,3.193437,1.574783
-0.6,2.190684,1.814083,1.165485,0.544687176
-0.6,3.176683,1.966673,1.036576,0.512988679
-0.6,4.226176,1.951393,1.016566,0.56239733
-0.6,5.337263,1.944962,1.004352,0.62191646
-0.6,6.515132,1.931153,0.991603278,0.684548023
0.6,7.764628,0.943119932,2.706063,1.604857
0.6,6.904583,0.82524911,2.695851,1.550713
0.6,6.093846,0.81773843,2.716321,1.519979
0.6,5.325498,0.811146732,2.739874,1.491657
0.6,4.595039,0.80332085,2.746981,1.454228
0.6,3.903162,0.795934729,2.761809,1.42112
0.6,3.246061,0.790370239,2.78124,1.393773
0.6,2.619755,0.782017167,2.798084,1.36237
0.6,2.023727,0.775519932,2.803102,1.328161
