Valve Command  (V),Bottom Pressure (V),Top Pressure (V),Flow (V),Position (Counts)
-0.3,0.846165257,1.196641,1.042052,0.481320775
-0.3,0.745283704,1.032671,1.053061,0.9038173
-0.3,0.747634249,1.030358,1.053854,1.35538
-0.3,0.745733339,1.031304,1.055561,1.823725
-0.6,0.741602378,1.031774,1.057123,2.31162
-0.6,0.704286316,0.998984076,1.841742,2.811107
-0.6,0.689346397,0.982536487,1.918984,3.800912
-0.6,0.688177438,0.977973411,1.914417,4.85179
-0.6,0.692484326,0.978567436,1.914285,5.966509
-0.6,1.622691,0.645404201,1.504164,7.15424
